# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsUncompressedSize,1755220849586000000,1755220909868000000,0
VFS.fileChildByName,1755220849586000000,1755220909868000000,0
VFS.contentStorage.recordsStoredSize,1755220849586000000,1755220909868000000,0
FileNameCache.totalMisses,1755220849586000000,1755220909868000000,0
DiskQueryRelay.tasksRequested,1755220849586000000,1755220909868000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1755220849586000000,1755220909868000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1755220849586000000,1755220909868000000,0
DiskQueryRelay.tasksExecuted,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1755220849586000000,1755220909868000000,0
jps.global.get.library.ms,1755220849586000000,1755220909868000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1755220849586000000,1755220909868000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1755220849586000000,1755220909868000000,0
workspaceModel.global.updates.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1755220849586000000,1755220909868000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1755220849586000000,1755220909868000000,0
workspaceModel.save.cache.to.file.ms,1755220849586000000,1755220909868000000,0
jps.global.get.library.by.name.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1755220849586000000,1755220909868000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1755220849586000000,1755220909868000000,0
jps.load.initial.state.ms,1755220849586000000,1755220909868000000,58
workspaceModel.mutableEntityStorage.replace.by.source.ms,1755220849586000000,1755220909868000000,0
jps.global.handle.before.change.events.ms,1755220849586000000,1755220909868000000,0
workspaceModel.sync.entities.ms,1755220849586000000,1755220909868000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1755220849586000000,1755220909868000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.entities.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.instances.count,1755220849586000000,1755220909868000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1755220849586000000,1755220909868000000,0
jps.global.handle.changed.events.ms,1755220849586000000,1755220909868000000,0
jps.library.entities.serializer.load.entities.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1755220849586000000,1755220909868000000,0
jps.save.global.entities.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1755220849586000000,1755220909868000000,1
