# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageHits,1755224794673000000,1755224855249000000,0
DirectByteBufferAllocator.disposed,1755224794673000000,1755224855249000000,156
StreamlinedBlobStorage.recordsDeleted,1755224794673000000,1755224855249000000,0
FilePageCache.totalPageLoadsUs,1755224794673000000,1755224855249000000,285482
FilePageCache.maxCacheSizeInBytes,1755224794673000000,1755224855249000000,161497088
FilePageCache.uncachedFileAccess,1755224794673000000,1755224855249000000,71
DirectByteBufferAllocator.reclaimed,1755224794673000000,1755224855249000000,45
StreamlinedBlobStorage.recordsAllocated,1755224794673000000,1755224855249000000,16
FilePageCache.pageFastCacheHits,1755224794673000000,1755224855249000000,3105
FilePageCache.totalPageDisposalsUs,1755224794673000000,1755224855249000000,2503
MappedFileStorage.totalPagesMapped,1755224794673000000,1755224855249000000,6
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1755224794673000000,1755224855249000000,127
MappedFileStorage.storages,1755224794673000000,1755224855249000000,6
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1755224794673000000,1755224855249000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1755224794673000000,1755224855249000000,41959424
FilePageCache.maxRegisteredFiles,1755224794673000000,1755224855249000000,418
FileChannelInterruptsRetryer.totalRetriedAttempts,1755224794673000000,1755224855249000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1755224794673000000,1755224855249000000,0
FilePageCache.pageLoads,1755224794673000000,1755224855249000000,159
FilePageCache.capacityInBytes,1755224794673000000,1755224855249000000,629145600
StorageLockContext.competingThreads.max,1755224794673000000,1755224855249000000,0
StorageLockContext.competingThreads.90P,1755224794673000000,1755224855249000000,0
MappedFileStorage.totalBytesMapped,1755224794673000000,1755224855249000000,164626432
StorageLockContext.competingThreads.avg,1755224794673000000,1755224855249000000,0.0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1755224794673000000,1755224855249000000,1120
MappedFileStorage.totalTimeSpentOnMappingUs,1755224794673000000,1755224855249000000,29648
DirectByteBufferAllocator.misses,1755224794673000000,1755224855249000000,156
FilePageCache.disposedBuffers,1755224794673000000,1755224855249000000,159
StreamlinedBlobStorage.recordsRelocated,1755224794673000000,1755224855249000000,0
DirectByteBufferAllocator.hits,1755224794673000000,1755224855249000000,3
VFS.contentStorage.recordsStored,1755224794673000000,1755224855249000000,0
VFS.contentStorage.recordsStoredCompressed,1755224794673000000,1755224855249000000,0
FileNameCache.totalMisses,1755224794673000000,1755224855249000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1755224794673000000,1755224855249000000,0
VFS.invertedFileNameIndex.requests,1755224794673000000,1755224855249000000,0
VFS.contentStorage.recordsUncompressedSize,1755224794673000000,1755224855249000000,0
VFS.contentStorage.recordsReadSize,1755224794673000000,1755224855249000000,0
VFS.fileByIdCache.hits,1755224794673000000,1755224855249000000,0
VFS.contentStorage.recordsRead,1755224794673000000,1755224855249000000,0
VFS.contentStorage.recordsStoredSize,1755224794673000000,1755224855249000000,0
VFS.contentStorage.recordsDeduplicated,1755224794673000000,1755224855249000000,0
VFS.fileChildByName,1755224794673000000,1755224855249000000,0
FileNameCache.queries,1755224794673000000,1755224855249000000,0
VFS.contentStorage.recordsReadDecompressed,1755224794673000000,1755224855249000000,0
VFS.fileByIdCache.misses,1755224794673000000,1755224855249000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1755224794673000000,1755224855249000000,0
workspaceModel.on.before.changed.ms,1755224794673000000,1755224855249000000,0
workspaceModel.full.replace.project.model.ms,1755224794673000000,1755224855249000000,0
workspaceModel.replace.project.model.ms,1755224794673000000,1755224855249000000,0
workspaceModel.collect.changes.ms,1755224794673000000,1755224855249000000,0
workspaceModel.pre.handlers.ms,1755224794673000000,1755224855249000000,0
workspaceModel.cachedValue.from.cache.count,1755224794673000000,1755224855249000000,0
workspaceModel.updates.ms,1755224794673000000,1755224855249000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1755224794673000000,1755224855249000000,0
workspaceModel.updates.count,1755224794673000000,1755224855249000000,0
workspaceModel.cachedValue.clear.count,1755224794673000000,1755224855249000000,0
workspaceModel.loading.total.ms,1755224794673000000,1755224855249000000,105
workspaceModel.on.changed.ms,1755224794673000000,1755224855249000000,0
workspaceModel.init.bridges.ms,1755224794673000000,1755224855249000000,0
workspaceModel.cachedValueWithParameters.clear.count,1755224794673000000,1755224855249000000,0
